"filename", "language", "JavaScript", "JSON with Comments", "Markdown", "JSON", "TypeScript", "TypeScript JSX", "PostCSS", "Groovy", "Properties", "Batch", "XML", "comment", "blank", "total"
"c:\Users\Andak\Desktop\deckedOut\assets\games\Decks.ts", "TypeScript", 0, 0, 0, 0, 762, 0, 0, 0, 0, 0, 0, 27, 15, 804
"c:\Users\Andak\Desktop\deckedOut\babel.config.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Andak\Desktop\deckedOut\config.json", "JSON", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"c:\Users\Andak\Desktop\deckedOut\context\PremiumContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 8, 32, 224
"c:\Users\Andak\Desktop\deckedOut\context\SupabaseAuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 4, 13, 73
"c:\Users\Andak\Desktop\deckedOut\eslint.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Users\Andak\Desktop\deckedOut\lib\supabase.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Andak\Desktop\deckedOut\metro.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Andak\Desktop\deckedOut\nativewind-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Andak\Desktop\deckedOut\package-lock.json", "JSON", 0, 0, 0, 14884, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14885
"c:\Users\Andak\Desktop\deckedOut\package.json", "JSON", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 1, 62
"c:\Users\Andak\Desktop\deckedOut\tailwind.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 10
"c:\Users\Andak\Desktop\deckedOut\tsconfig.json", "JSON with Comments", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Andak\Desktop\deckedOut\utils\formatTime.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Andak\Desktop\deckedOut\utils\supabaseAnalytics.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 1, 10, 50
"c:\Users\Andak\Desktop\deckedOut\utils\supabaseStats.ts", "TypeScript", 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 7, 18, 149
"Total", "-", 31, 65, 31, 14990, 949, 3660, 20, 145, 21, 41, 96, 364, 537, 20950
